央,#genre#
CCTV1,https://i.125011.xyz/live3.php?/PLTV/&auth=230930&id=cctv1
CCTV2,https://i.125011.xyz/live3.php?/PLTV/&auth=230930&id=cctv2
CCTV3,https://i.125011.xyz/live3.php?/PLTV/&auth=230930&id=cctv3
CCTV4,https://i.125011.xyz/live3.php?/PLTV/&auth=230930&id=cctv4
CCTV4_美洲,https://i.125011.xyz/live3.php?/PLTV/&auth=230930&id=cctv4a
CCTV4_欧洲,https://i.125011.xyz/live3.php?/PLTV/&auth=230930&id=cctv4e
CCTV5,https://i.125011.xyz/live3.php?/PLTV/&auth=230930&id=cctv5
CCTV5+,https://i.125011.xyz/live3.php?/PLTV/&auth=230930&id=cctv5p
CCTV6,https://i.125011.xyz/live3.php?/PLTV/&auth=230930&id=cctv6
CCTV7,https://i.125011.xyz/live3.php?/PLTV/&auth=230930&id=cctv7
CCTV8,https://i.125011.xyz/live3.php?/PLTV/&auth=230930&id=cctv8
CCTV9,https://i.125011.xyz/live3.php?/PLTV/&auth=230930&id=cctv9
CCTV10,https://i.125011.xyz/live3.php?/PLTV/&auth=230930&id=cctv10
CCTV11,https://i.125011.xyz/live3.php?/PLTV/&auth=230930&id=cctv11
CCTV12,https://i.125011.xyz/live3.php?/PLTV/&auth=230930&id=cctv12
CCTV13,https://i.125011.xyz/live3.php?/PLTV/&auth=230930&id=cctv13
CCTV14,https://i.125011.xyz/live3.php?/PLTV/&auth=230930&id=cctv14
CCTV15,https://i.125011.xyz/live3.php?/PLTV/&auth=230930&id=cctv15
CCTV16_4k,https://i.125011.xyz/live3.php?/PLTV/&auth=230930&id=cctv16_4k
CCTV16,https://i.125011.xyz/live3.php?/PLTV/&auth=230930&id=cctv16
CCTV17,https://i.125011.xyz/live3.php?/PLTV/&auth=230930&id=cctv17
CCTV4K,https://i.125011.xyz/live3.php?/PLTV/&auth=230930&id=cctv4k
CCTV8K,https://i.125011.xyz/live3.php?/PLTV/&auth=230930&id=cctv8k
CCTV1,http://116.7.250.50:9901/tsfile/live/0001_1.m3u8?key=txiptv&url=tvzb.com
CCTV2,http://116.7.250.50:9901/tsfile/live/0002_1.m3u8?key=txiptv&url=tvzb.com
CCTV3,http://116.7.250.50:9901/tsfile/live/0003_1.m3u8?key=txiptv&url=tvzb.com
CCTV4,http://116.7.250.50:9901/tsfile/live/0004_1.m3u8?key=txiptv&url=tvzb.com
CCTV5,http://116.7.250.50:9901/tsfile/live/0005_1.m3u8?key=txiptv&url=tvzb.com
CCTV6,http://116.7.250.50:9901/tsfile/live/0006_1.m3u8?key=txiptv&url=tvzb.com
CCTV7,http://116.7.250.50:9901/tsfile/live/0007_1.m3u8?key=txiptv&url=tvzb.com
CCTV8,http://116.7.250.50:9901/tsfile/live/0008_1.m3u8?key=txiptv&url=tvzb.com
CCTV9,http://116.7.250.50:9901/tsfile/live/0009_1.m3u8?key=txiptv&url=tvzb.com
CCTV10,http://116.7.250.50:9901/tsfile/live/0010_1.m3u8?key=txiptv&url=tvzb.com
CCTV11,http://116.7.250.50:9901/tsfile/live/0011_1.m3u8?key=txiptv&url=tvzb.com
CCTV12,http://116.7.250.50:9901/tsfile/live/0012_1.m3u8?key=txiptv&url=tvzb.com
CCTV13,http://116.7.250.50:9901/tsfile/live/0013_1.m3u8?key=txiptv&url=tvzb.com
CCTV14,http://116.7.250.50:9901/tsfile/live/0014_1.m3u8?key=txiptv&url=tvzb.com
CCTV15,http://116.7.250.50:9901/tsfile/live/0015_1.m3u8?key=txiptv&url=tvzb.com
CCTV1,http://120.196.232.19:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226737/1.m3u8
CCTV2,http://120.196.232.54:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226739/1.m3u8
CCTV3,http://120.196.232.50:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226720/1.m3u8
CCTV4,http://120.196.232.27:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226725/1.m3u8
CCTV5,http://120.196.232.31:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226731/1.m3u8
CCTV5+,http://120.196.232.51:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226711/1.m3u8
CCTV6,http://120.196.232.25:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226699/1.m3u8
CCTV7,http://120.196.232.31:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226721/1.m3u8
CCTV8,http://120.196.232.17:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226715/1.m3u8
CCTV9,http://120.196.232.36:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226651/1.m3u8
CCTV10,http://120.196.232.27:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226708/1.m3u8
CCTV11,http://120.196.232.55:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226714/1.m3u8
CCTV12,http://120.196.232.51:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226723/1.m3u8
CCTV13,http://120.196.232.21:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226717/1.m3u8
CCTV14,http://120.196.232.27:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226645/1.m3u8
CCTV16,http://120.196.232.15:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226825/1.m3u8
CCTV17,http://120.196.232.43:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226727/1.m3u8
CHC高清电影,
CHC家庭影院,
CHC动作电影,
CCTV电视指南,
CCTV第一剧场,
CCTV怀旧剧场,
CCTV风云剧场,
CCTV风云音乐,
CCTV风云足球,
CCTV央视台球,
CCTV央视文化精品,
CCTV高尔夫·网球,
CCTV兵器科技,
CCTV世界地理,
CCTV卫生健康,
CCTV女性时尚,
CCTV发现之旅,
CCTV老故事,
CCTV新科动漫,
CCTV中学生,
CCTV环球奇观,
CHC高清电影,
CHC家庭影院,
CHC动作电影,
中国天气,
书画,
百姓健康,
优优宝贝,
车迷频道,
中华特产,
四害钓鱼,
环球旅游,
生态环境,
足球频道,
家庭理财,
东方财经,
动漫秀场,
乐游,
法治天地,
魅力足球,
劲爆体育,
都市剧场,
欢笑剧场4K,
金色学堂,
生活时尚,
新视觉,
财富天下,
求索记录4K,
收藏天下,
中华美食,
梨园频道,
武术世界,
文物宝库,
国学频道,
精彩影视,
茶频道,
先锋乒羽,
快乐垂钓,
汽摩频道,
天元围棋,
证券服务,
睛彩竞技,
睛彩广场舞,
睛彩羽毛球,
睛彩篮球,
京视剧场,
动感音乐,
弈坛春秋,
置业频道,
七彩戏剧,
河北杂技,
东北戏曲,
江记录,
岭南戏曲,
现代教育,


粤,#genre#
广东卫视,https://i.125011.xyz/live3.php?/PLTV/&auth=230930&id=gdws
广东珠江,
广东体育,
广东民生,
广东新闻,
广东少儿,
广东综艺,
广东影视,
嘉佳卡通,
大湾区卫视,
经济科技,
移动,
现代教育,
岭南戏曲,
广州综合,
广州新闻,
广州影视,
广州竞赛,
广州法治,
广州移动,
南国都市,
番禺综合,
增城综合,
深圳卫视,
深圳都市,
深圳公共,
深圳财经,
深圳娱乐,
深圳体育,
深圳少儿,
深圳龙岗,
深圳众创,
蛇口频道,
佛山综合,
佛山公共,
佛山影视,
佛山南海,
佛山顺德,
佛山高明,
佛山山水,
韶关综合,
始兴综合,
乐昌综合,
乳源综合,
清远综合,
清远公共,
清新综合,
佛冈综合,
英德综合,
河源综合,
河源公共,
东源综合,
和平综合,
龙川综合,
资金综合,
连平综合,
大埔综合,
丰顺综合,
五华综合,
平远综合,
蕉岭综合,
兴宁综合,
普宁综合,
